,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
noisy spymaster:glove 100:0.5,3.318,3.506,3.446,3.586,3.69,1.704,1.964,2.324,2.742,2.982,2.362,3.566,3.738,3.802,3.852,3.692,3.72,3.702,3.674,3.67,0.0,0.868,1.556,2.128,2.616,3.178,3.522,3.82,3.902,3.922,1.878,2.078,2.354,2.634,2.852,3.178,3.206,3.188,3.166,3.23,3.08,3.792,3.412,2.954,3.542,3.252,3.034,3.338,3.186,2.904,3.424,3.178,2.948,3.448,3.244
noisy spymaster:glove 100:0.75,3.372,3.468,3.468,3.616,3.73,1.762,2.04,2.358,2.794,2.978,2.368,3.596,3.754,3.814,3.854,3.688,3.69,3.666,3.672,3.704,0.064,0.93,1.61,2.196,2.636,3.216,3.56,3.826,3.888,3.904,1.978,2.068,2.408,2.624,2.904,3.244,3.19,3.18,3.196,3.29,3.134,3.754,3.406,2.966,3.544,3.182,2.982,3.388,3.192,2.976,3.436,3.206,3.008,3.442,3.3
noisy spymaster:glove 100:1.0,3.394,3.46,3.574,3.634,3.788,2.0,2.248,2.572,2.994,3.136,2.566,3.786,3.786,3.81,3.832,3.708,3.754,3.692,3.684,3.728,0.396,1.276,1.978,2.444,2.786,3.348,3.638,3.904,3.91,3.974,2.138,2.264,2.564,2.754,2.97,3.276,3.22,3.324,3.314,3.428,3.204,3.818,3.526,3.096,3.664,3.372,3.092,3.47,3.318,3.106,3.556,3.268,3.086,3.436,3.42
noisy spymaster:fast-text:0.0,2.5,2.804,3.196,3.582,3.828,2.316,2.416,2.576,2.742,3.032,1.512,3.308,3.76,3.952,3.982,3.544,3.646,3.65,3.876,3.758,2.518,2.628,2.772,3.034,3.166,0.008,2.288,3.324,3.464,3.62,2.18,2.244,2.492,2.784,2.97,2.856,2.904,2.994,3.022,3.076,2.542,3.632,3.146,2.574,3.42,2.942,2.558,3.416,3.048,2.564,3.266,2.938,2.572,3.286,2.946
noisy spymaster:fast-text:0.25,2.488,2.718,3.146,3.542,3.76,2.318,2.42,2.494,2.822,2.988,1.508,3.384,3.744,3.882,3.886,3.536,3.614,3.758,3.77,3.956,2.526,2.7,2.832,3.032,3.084,0.016,2.488,3.232,3.644,3.712,2.18,2.3,2.574,2.798,2.954,2.866,2.906,2.88,2.906,2.98,2.544,3.626,3.128,2.572,3.432,2.964,2.548,3.44,3.044,2.568,3.272,2.964,2.582,3.29,2.968
noisy spymaster:fast-text:0.5,3.038,3.208,3.424,3.718,3.796,2.918,2.96,2.954,3.244,3.334,2.206,3.608,3.848,3.946,3.9,3.742,3.79,3.836,3.952,3.988,3.04,3.098,3.264,3.446,3.578,1.022,3.024,3.494,3.786,3.83,2.748,2.866,3.114,3.308,3.37,3.252,3.25,3.206,3.294,3.272,3.168,3.736,3.444,2.986,3.566,3.268,2.968,3.568,3.254,2.966,3.482,3.296,2.96,3.528,3.244
noisy spymaster:fast-text:0.75,3.504,3.582,3.64,3.846,3.916,3.486,3.424,3.536,3.64,3.59,2.986,3.668,3.91,3.976,3.906,3.774,3.82,3.882,3.954,4.01,3.434,3.462,3.526,3.618,3.858,2.608,3.444,3.672,3.85,3.848,3.432,3.416,3.646,3.674,3.726,3.422,3.58,3.56,3.512,3.54,3.428,3.874,3.582,3.436,3.718,3.472,3.362,3.762,3.506,3.344,3.836,3.532,3.422,3.708,3.486
noisy spymaster:fast-text:1.0,3.634,3.6,3.684,3.92,3.978,3.532,3.612,3.808,3.75,3.712,3.26,3.72,3.906,3.94,3.898,3.874,3.882,3.908,3.98,4.008,3.596,3.68,3.734,3.806,3.862,3.204,3.604,3.788,3.966,3.908,3.514,3.622,3.714,3.758,3.822,3.626,3.67,3.618,3.544,3.512,3.518,3.936,3.624,3.602,3.754,3.572,3.6,3.91,3.566,3.472,3.932,3.642,3.54,3.76,3.61
noisy spymaster:w2v_glove_50:0.0,2.948,3.17,3.346,3.516,3.612,1.988,2.008,2.348,2.738,2.902,2.32,3.626,4.018,4.02,4.072,3.668,3.718,3.866,3.942,3.98,1.38,1.514,1.968,2.47,2.86,3.006,3.164,3.51,3.642,3.674,1.79,2.018,2.194,2.612,2.92,3.14,3.166,3.168,3.262,3.24,2.928,3.526,3.31,2.842,3.33,3.022,2.754,3.514,2.918,2.978,3.476,2.99,2.974,3.442,3.032
noisy spymaster:w2v_glove_50:0.25,2.948,3.246,3.398,3.556,3.79,1.988,2.062,2.406,2.752,2.926,2.32,3.592,3.778,3.892,3.918,3.668,3.746,3.738,3.826,3.854,1.38,1.516,1.938,2.294,2.648,3.006,3.08,3.388,3.46,3.404,1.79,2.024,2.254,2.744,2.89,3.14,3.174,3.208,3.188,3.324,2.928,3.526,3.31,2.842,3.33,3.022,2.754,3.514,2.918,2.978,3.476,2.99,2.974,3.442,3.032
noisy spymaster:w2v_glove_50:0.5,2.948,3.242,3.398,3.558,3.786,1.99,2.062,2.408,2.75,2.926,2.318,3.592,3.778,3.892,3.918,3.674,3.738,3.744,3.83,3.854,1.38,1.518,1.942,2.296,2.648,3.006,3.082,3.366,3.46,3.4,1.788,2.024,2.254,2.744,2.89,3.136,3.176,3.214,3.186,3.324,2.928,3.532,3.312,2.84,3.33,3.022,2.754,3.514,2.916,2.972,3.47,2.994,2.97,3.448,3.032
noisy spymaster:w2v_glove_50:0.75,2.938,3.238,3.398,3.582,3.812,2.008,2.07,2.48,2.754,2.916,2.332,3.588,3.8,3.896,3.896,3.676,3.752,3.752,3.828,3.87,1.406,1.542,1.97,2.336,2.696,3.002,3.09,3.38,3.466,3.424,1.836,2.058,2.292,2.764,2.958,3.144,3.208,3.26,3.242,3.364,2.934,3.542,3.344,2.83,3.356,2.974,2.786,3.474,2.99,2.956,3.526,3.046,2.992,3.398,3.028
noisy spymaster:w2v_glove_50:1.0,3.026,3.286,3.45,3.566,3.776,2.174,2.262,2.64,2.87,3.132,2.462,3.62,3.764,3.842,3.832,3.76,3.822,3.79,3.916,3.836,1.55,1.794,2.166,2.47,2.882,3.098,3.19,3.402,3.482,3.492,2.03,2.272,2.532,2.902,3.136,3.116,3.212,3.302,3.284,3.32,3.044,3.59,3.334,2.996,3.364,3.11,2.9,3.518,3.166,3.046,3.614,3.08,2.976,3.428,3.108
noisy spymaster:elmo:0.0,3.074,3.198,3.414,3.684,3.916,2.918,3.03,3.106,3.338,3.368,2.532,3.634,3.922,3.932,3.958,3.716,3.762,3.774,3.858,3.936,2.978,3.008,3.238,3.39,3.478,3.12,3.362,3.498,3.648,3.702,2.726,2.954,3.042,3.37,3.33,0.162,0.802,1.346,1.764,2.138,3.152,3.85,3.568,2.972,3.59,3.238,2.91,3.592,3.136,2.948,3.536,3.264,2.926,3.586,3.184
noisy spymaster:elmo:0.25,3.074,3.15,3.394,3.682,3.796,2.918,2.974,3.228,3.34,3.396,2.532,3.502,3.72,3.808,3.822,3.716,3.788,3.75,3.824,3.922,2.978,3.03,3.062,3.154,3.33,3.12,3.4,3.526,3.686,3.748,2.726,2.85,3.0,3.162,3.288,0.162,0.686,1.186,1.71,2.114,3.152,3.85,3.568,2.972,3.59,3.238,2.91,3.592,3.136,2.948,3.536,3.264,2.926,3.586,3.184
noisy spymaster:elmo:0.5,3.074,3.15,3.394,3.682,3.796,2.918,2.974,3.228,3.34,3.396,2.532,3.502,3.72,3.808,3.822,3.716,3.788,3.75,3.824,3.922,2.978,3.03,3.062,3.154,3.33,3.12,3.4,3.526,3.686,3.748,2.726,2.85,3.0,3.162,3.288,0.162,0.686,1.186,1.71,2.114,3.152,3.85,3.568,2.972,3.59,3.238,2.91,3.592,3.136,2.948,3.536,3.264,2.926,3.586,3.184
noisy spymaster:elmo:0.75,3.074,3.15,3.394,3.682,3.796,2.918,2.974,3.228,3.34,3.396,2.532,3.502,3.72,3.808,3.822,3.716,3.788,3.75,3.824,3.922,2.978,3.03,3.062,3.154,3.33,3.12,3.4,3.526,3.686,3.748,2.726,2.85,3.0,3.162,3.288,0.162,0.686,1.186,1.71,2.114,3.152,3.85,3.568,2.972,3.59,3.238,2.91,3.592,3.136,2.948,3.536,3.264,2.926,3.586,3.184
noisy spymaster:elmo:1.0,3.068,3.148,3.394,3.68,3.794,2.924,2.986,3.228,3.34,3.396,2.536,3.498,3.72,3.808,3.822,3.718,3.788,3.75,3.824,3.922,2.978,3.038,3.068,3.158,3.33,3.12,3.404,3.524,3.686,3.748,2.736,2.858,3.008,3.17,3.294,0.162,0.688,1.188,1.712,2.116,3.146,3.85,3.566,2.978,3.588,3.24,2.9,3.592,3.134,2.94,3.542,3.274,2.92,3.588,3.192
