,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
noisy spymaster:w2v_glove_50:0.0,0.496,0.524,0.608,0.682,0.734,0.296,0.332,0.402,0.488,0.558,0.374,0.656,0.752,0.782,0.802,0.76,0.754,0.736,0.75,0.742,0.18,0.194,0.28,0.37,0.436,0.576,0.68,0.736,0.78,0.778,0.294,0.306,0.39,0.418,0.486,0.57,0.556,0.574,0.598,0.588,0.484,0.682,0.614,0.492,0.618,0.528,0.51,0.602,0.548,0.512,0.612,0.53,0.474,0.612,0.568
noisy spymaster:w2v_glove_50:0.25,0.496,0.534,0.626,0.666,0.692,0.296,0.314,0.394,0.47,0.548,0.374,0.65,0.734,0.764,0.786,0.76,0.75,0.746,0.76,0.764,0.18,0.206,0.286,0.38,0.442,0.576,0.674,0.744,0.784,0.802,0.294,0.31,0.392,0.416,0.486,0.57,0.582,0.578,0.576,0.63,0.484,0.682,0.614,0.492,0.618,0.528,0.51,0.602,0.548,0.512,0.612,0.53,0.474,0.612,0.568
noisy spymaster:w2v_glove_50:0.5,0.496,0.534,0.626,0.666,0.692,0.294,0.314,0.392,0.47,0.548,0.372,0.65,0.734,0.764,0.786,0.758,0.75,0.748,0.76,0.764,0.18,0.206,0.286,0.378,0.442,0.578,0.674,0.75,0.784,0.804,0.296,0.308,0.392,0.416,0.486,0.568,0.582,0.578,0.576,0.63,0.484,0.682,0.614,0.492,0.618,0.53,0.51,0.602,0.548,0.514,0.612,0.53,0.476,0.61,0.568
noisy spymaster:w2v_glove_50:0.75,0.514,0.528,0.62,0.672,0.698,0.296,0.322,0.396,0.468,0.544,0.376,0.65,0.734,0.762,0.786,0.76,0.732,0.756,0.772,0.766,0.19,0.206,0.276,0.376,0.446,0.578,0.676,0.742,0.788,0.798,0.294,0.32,0.404,0.418,0.482,0.584,0.584,0.566,0.576,0.624,0.488,0.692,0.624,0.508,0.614,0.552,0.51,0.596,0.522,0.504,0.624,0.53,0.47,0.61,0.564
noisy spymaster:w2v_glove_50:1.0,0.542,0.568,0.652,0.686,0.694,0.31,0.364,0.406,0.496,0.554,0.422,0.668,0.75,0.77,0.79,0.774,0.76,0.78,0.78,0.786,0.228,0.246,0.324,0.404,0.496,0.598,0.7,0.772,0.794,0.808,0.324,0.352,0.414,0.48,0.518,0.576,0.588,0.602,0.606,0.61,0.508,0.698,0.636,0.536,0.622,0.528,0.494,0.6,0.524,0.51,0.604,0.546,0.538,0.596,0.58
noisy spymaster:elmo:0.0,0.548,0.572,0.64,0.724,0.712,0.498,0.506,0.558,0.596,0.662,0.42,0.67,0.75,0.782,0.824,0.732,0.74,0.742,0.762,0.748,0.504,0.508,0.524,0.552,0.588,0.586,0.684,0.742,0.762,0.756,0.494,0.5,0.522,0.548,0.598,0.03,0.108,0.192,0.272,0.338,0.562,0.754,0.65,0.526,0.642,0.536,0.528,0.61,0.544,0.51,0.622,0.528,0.534,0.636,0.57
noisy spymaster:elmo:0.25,0.548,0.596,0.628,0.684,0.714,0.498,0.516,0.546,0.6,0.632,0.42,0.678,0.76,0.796,0.814,0.732,0.752,0.752,0.75,0.762,0.504,0.504,0.548,0.578,0.612,0.586,0.634,0.718,0.746,0.772,0.494,0.486,0.524,0.594,0.618,0.03,0.102,0.198,0.264,0.304,0.562,0.754,0.65,0.526,0.642,0.536,0.528,0.61,0.544,0.51,0.622,0.528,0.534,0.636,0.57
noisy spymaster:elmo:0.5,0.548,0.596,0.628,0.684,0.714,0.498,0.516,0.546,0.6,0.632,0.42,0.678,0.76,0.796,0.814,0.732,0.752,0.752,0.75,0.762,0.504,0.504,0.548,0.578,0.612,0.586,0.634,0.718,0.746,0.772,0.494,0.486,0.524,0.594,0.618,0.03,0.102,0.198,0.264,0.304,0.562,0.754,0.65,0.526,0.642,0.536,0.528,0.61,0.544,0.51,0.622,0.528,0.534,0.636,0.57
noisy spymaster:elmo:0.75,0.548,0.596,0.628,0.684,0.714,0.498,0.516,0.546,0.6,0.632,0.42,0.678,0.76,0.796,0.814,0.732,0.752,0.752,0.75,0.762,0.504,0.504,0.548,0.578,0.612,0.586,0.634,0.718,0.746,0.772,0.494,0.486,0.524,0.594,0.618,0.03,0.102,0.198,0.264,0.304,0.562,0.754,0.65,0.526,0.642,0.536,0.528,0.61,0.544,0.51,0.622,0.528,0.534,0.636,0.57
noisy spymaster:elmo:1.0,0.55,0.596,0.628,0.684,0.714,0.498,0.516,0.546,0.6,0.632,0.42,0.678,0.76,0.796,0.814,0.732,0.752,0.752,0.75,0.762,0.504,0.504,0.548,0.578,0.612,0.586,0.634,0.718,0.746,0.772,0.494,0.486,0.524,0.594,0.618,0.03,0.1,0.198,0.264,0.304,0.562,0.754,0.65,0.522,0.642,0.536,0.53,0.612,0.544,0.51,0.622,0.526,0.536,0.636,0.57
