,noisy guesser:w2v:0.0,noisy guesser:w2v:0.25,noisy guesser:w2v:0.5,noisy guesser:w2v:0.75,noisy guesser:w2v:1.0,noisy guesser:glove 300:0.0,noisy guesser:glove 300:0.25,noisy guesser:glove 300:0.5,noisy guesser:glove 300:0.75,noisy guesser:glove 300:1.0,noisy guesser:cn_nb:0.0,noisy guesser:cn_nb:0.25,noisy guesser:cn_nb:0.5,noisy guesser:cn_nb:0.75,noisy guesser:cn_nb:1.0,noisy guesser:d2v:0.0,noisy guesser:d2v:0.25,noisy guesser:d2v:0.5,noisy guesser:d2v:0.75,noisy guesser:d2v:1.0,noisy guesser:glove 100:0.0,noisy guesser:glove 100:0.25,noisy guesser:glove 100:0.5,noisy guesser:glove 100:0.75,noisy guesser:glove 100:1.0,noisy guesser:fast-text:0.0,noisy guesser:fast-text:0.25,noisy guesser:fast-text:0.5,noisy guesser:fast-text:0.75,noisy guesser:fast-text:1.0,noisy guesser:w2v_glove_300:0.0,noisy guesser:w2v_glove_300:0.25,noisy guesser:w2v_glove_300:0.5,noisy guesser:w2v_glove_300:0.75,noisy guesser:w2v_glove_300:1.0,noisy guesser:elmo:0.0,noisy guesser:elmo:0.25,noisy guesser:elmo:0.5,noisy guesser:elmo:0.75,noisy guesser:elmo:1.0,bayesian guesser:0.0:0:1,bayesian guesser:0.0:1:0,bayesian guesser:0.0:0.5:0.5,bayesian guesser:0.25:0:1,bayesian guesser:0.25:1:0,bayesian guesser:0.25:0.5:0.5,bayesian guesser:0.5:0:1,bayesian guesser:0.5:1:0,bayesian guesser:0.5:0.5:0.5,bayesian guesser:0.75:0:1,bayesian guesser:0.75:1:0,bayesian guesser:0.75:0.5:0.5,bayesian guesser:1.0:0:1,bayesian guesser:1.0:1:0,bayesian guesser:1.0:0.5:0.5
noisy spymaster:w2v_glove_50:0.0,6.986,7.272,7.478,7.676,7.778,5.398,5.464,5.98,6.632,6.886,6.068,8.018,8.524,8.428,8.534,8.042,8.098,8.392,8.536,8.516,4.744,4.986,5.592,6.206,6.81,7.106,7.332,7.836,8.066,8.084,5.202,5.462,5.81,6.416,6.886,7.162,7.196,7.32,7.46,7.468,7.698,7.75,11.708,7.848,7.332,8.992,7.638,7.464,8.6,7.826,7.494,8.452,7.764,7.396,8.282
noisy spymaster:w2v_glove_50:0.25,6.986,7.484,7.708,7.93,8.274,5.398,5.62,6.046,6.634,6.936,6.068,8.09,8.35,8.478,8.524,8.042,8.204,8.164,8.208,8.306,4.744,4.898,5.552,6.058,6.588,7.106,7.108,7.51,7.62,7.504,5.202,5.484,5.91,6.716,7.068,7.162,7.296,7.306,7.196,7.484,7.698,7.75,11.708,7.848,7.332,8.992,7.638,7.464,8.6,7.826,7.494,8.452,7.764,7.396,8.282
noisy spymaster:w2v_glove_50:0.5,6.988,7.48,7.708,7.93,8.266,5.408,5.62,6.056,6.634,6.936,6.078,8.09,8.35,8.478,8.524,8.042,8.192,8.176,8.218,8.306,4.744,4.902,5.556,6.068,6.584,7.104,7.108,7.478,7.62,7.5,5.202,5.486,5.91,6.716,7.068,7.16,7.296,7.304,7.188,7.482,7.7,7.756,11.71,7.84,7.332,8.992,7.638,7.464,8.596,7.814,7.488,8.456,7.762,7.402,8.296
noisy spymaster:w2v_glove_50:0.75,6.98,7.47,7.716,7.966,8.294,5.46,5.646,6.174,6.65,6.944,6.072,8.088,8.38,8.486,8.5,8.024,8.22,8.188,8.238,8.338,4.776,4.966,5.618,6.142,6.668,7.114,7.122,7.498,7.654,7.536,5.29,5.516,5.936,6.752,7.17,7.182,7.346,7.376,7.256,7.534,7.714,7.756,11.704,7.812,7.406,8.91,7.728,7.38,8.742,7.87,7.542,8.684,7.796,7.268,8.442
noisy spymaster:w2v_glove_50:1.0,7.102,7.49,7.7,7.948,8.21,5.782,5.888,6.468,6.748,7.172,6.224,8.012,8.312,8.422,8.402,8.172,8.252,8.158,8.326,8.29,5.01,5.326,5.836,6.306,6.858,7.27,7.326,7.598,7.602,7.594,5.562,5.84,6.308,6.978,7.392,7.226,7.354,7.486,7.352,7.458,7.91,7.822,11.728,8.08,7.442,9.262,8.052,7.458,9.078,8.25,7.738,8.892,7.93,7.446,8.742
noisy spymaster:elmo:0.0,7.62,7.704,7.932,8.138,8.512,7.32,7.45,7.608,7.81,7.826,6.87,8.26,8.62,8.58,8.552,8.266,8.358,8.334,8.36,8.546,7.36,7.472,7.726,7.978,8.074,7.65,7.912,7.958,8.282,8.312,7.02,7.382,7.402,7.892,7.818,4.508,4.956,5.524,5.856,6.294,8.274,8.23,12.144,8.42,7.738,9.49,8.436,7.7,9.102,8.42,7.602,9.382,8.352,7.694,9.076
noisy spymaster:elmo:0.25,7.62,7.584,7.892,8.29,8.38,7.32,7.432,7.67,7.818,7.954,6.87,7.968,8.336,8.424,8.436,8.266,8.412,8.336,8.434,8.606,7.36,7.5,7.502,7.558,7.83,7.65,7.91,7.95,8.112,8.168,7.02,7.272,7.496,7.61,7.75,4.508,4.814,5.246,5.856,6.432,8.274,8.23,12.144,8.42,7.738,9.49,8.436,7.7,9.102,8.42,7.602,9.382,8.352,7.694,9.076
noisy spymaster:elmo:0.5,7.62,7.584,7.892,8.29,8.38,7.32,7.432,7.67,7.818,7.954,6.87,7.968,8.336,8.424,8.436,8.266,8.412,8.336,8.434,8.606,7.36,7.5,7.502,7.558,7.83,7.65,7.91,7.95,8.112,8.168,7.02,7.272,7.496,7.61,7.75,4.508,4.814,5.246,5.856,6.432,8.274,8.23,12.144,8.42,7.738,9.49,8.436,7.7,9.102,8.42,7.602,9.382,8.352,7.694,9.076
noisy spymaster:elmo:0.75,7.62,7.584,7.892,8.29,8.38,7.32,7.432,7.67,7.818,7.954,6.87,7.968,8.336,8.424,8.436,8.266,8.412,8.336,8.434,8.606,7.36,7.5,7.502,7.558,7.83,7.65,7.91,7.95,8.112,8.168,7.02,7.272,7.496,7.61,7.75,4.508,4.814,5.246,5.856,6.432,8.274,8.23,12.144,8.42,7.738,9.49,8.436,7.7,9.102,8.42,7.602,9.382,8.352,7.694,9.076
noisy spymaster:elmo:1.0,7.61,7.584,7.892,8.29,8.378,7.332,7.452,7.67,7.818,7.954,6.874,7.968,8.336,8.424,8.436,8.266,8.414,8.334,8.43,8.606,7.362,7.514,7.512,7.568,7.83,7.65,7.912,7.95,8.112,8.168,7.036,7.286,7.51,7.626,7.764,4.508,4.826,5.248,5.858,6.44,8.266,8.23,12.142,8.432,7.734,9.494,8.41,7.692,9.106,8.406,7.61,9.408,8.336,7.692,9.088
